______________________________________________________________________________________________
|Subnet  |  Binary        | Decimal         | Usable | Block |  Host | Notes                  |
|Prefix  |  (last octet)  | Mask            | Hosts  | Size  |  Bits |                        |
|________|________________|_________________|________|_______|_______|________________________|
|/24	   |  00000000	    | 255.255.255.0	  | 254	   | 256	 | 8	   | Class C default        |
|/25	   |  10000000	    | 255.255.255.128	| 126	   | 128	 | 7	   | Two /25s in /24        |
|/26	   |  11000000	    | 255.255.255.192	| 62	   | 64	   | 6	   | Four /26s in /24       |
|/27	   |  11100000	    | 255.255.255.224	| 30	   | 32	   | 5	   | Eight /27s in /24      |
|/28	   |  11110000	    | 255.255.255.240	| 14	   | 16	   | 4	   | Sixteen /28s in /24    |
|/29	   |  11111000	    | 255.255.255.248	| 6	     | 8	   | 3	   | Thirty-two /29s in /24 |
|/30	   |  11111100	    | 255.255.255.252	| 2	     | 4	   | 2	   | Dedicated line         |
|________|________________|_________________|________|_______|_______|________________________|

